mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 3/ 0,   +0.01 p,   0.00 s,        913 N,  4357621 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4364 N,  4991324 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      25561 N,  6467422 N/s, d7d5
 6/ 0,   -0.07 p,   0.02 s,     140232 N,  5948250 N/s, d7d5
 7/ 0,   +0.01 p,   0.11 s,     649006 N,  5939179 N/s, d7d5
 8/ 0,   -0.05 p,   0.42 s,    2439588 N,  5747219 N/s, d7d5
 9/ 0,   +0.06 p,   1.47 s,    9111373 N,  6211841 N/s, d7d5
10/ 0,   -0.06 p,   8.20 s,   47219303 N,  5761380 N/s, d7d5
11/ 0,   +0.01 p,  30.92 s,  182526179 N,  5903846 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        104 N,  4554013 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        549 N,  4802015 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2939 N,  7913194 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      13958 N,  5508485 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      85385 N,  7861269 N/s, f1f2
 6/ 0,   +1.00 p,   0.10 s,     537564 N,  5360398 N/s, f1f2
 7/ 0,   +1.05 p,   0.24 s,    1809239 N,  7581531 N/s, f1f2
 8/ 0,   +1.04 p,   2.60 s,   14344222 N,  5515397 N/s, f3b3
 9/ 0,   +1.04 p,   6.26 s,   47924925 N,  7659624 N/s, f3b3
10/ 0,   +0.99 p,  35.39 s,  191378884 N,  5407425 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         39 N,  3534529 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        163 N,  3367907 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        620 N,  6309533 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1680 N,  6288955 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       7131 N,  8455263 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      20175 N,  7547210 N/s, d4c3
 7/ 0,   -0.03 p,   0.01 s,      55157 N,  7658069 N/s, d4c3
 8/ 0,   -0.04 p,   0.02 s,     183194 N,  7452616 N/s, d4c3
 9/ 0,   -0.01 p,   0.11 s,     891209 N,  8019714 N/s, d4e3
10/ 0,   -0.06 p,   0.33 s,    2603644 N,  7981771 N/s, d4e3
11/ 0,   -0.02 p,   0.82 s,    7133615 N,  8735317 N/s, d4e3
12/ 0,   +3.43 p,   2.90 s,   25338810 N,  8727674 N/s, d4b6
13/ 0,   +3.53 p,   6.21 s,   64270694 N, 10349403 N/s, d4b6
14/ 0,   +3.63 p,   8.26 s,   78099437 N,  9451005 N/s, d4b6
15/ 0,   +3.85 p,   9.87 s,   93591790 N,  9484683 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        189 N,  5522924 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        619 N,  4240771 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       3826 N,  7245443 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      16234 N,  5523286 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      68250 N,  7961040 N/s, e6d6
 6/ 0,   +0.18 p,   0.07 s,     384428 N,  5501467 N/s, e6d6
 7/ 0,   +0.20 p,   0.16 s,    1257466 N,  7779460 N/s, e6d6
 8/ 0,   +0.14 p,   1.02 s,    5546004 N,  5424570 N/s, d3a6
 9/ 0,   +0.13 p,   2.24 s,   18811994 N,  8387153 N/s, d3a6
10/ 0,   +0.14 p,  15.54 s,   77862350 N,  5011289 N/s, d3a6

mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         34 N,  2535421 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        129 N,  1302596 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,        913 N,  4357600 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4364 N,  4959203 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      25561 N,  6728230 N/s, d7d5
 6/ 0,   -0.07 p,   0.02 s,     140232 N,  6016097 N/s, d7d5
 7/ 0,   +0.01 p,   0.11 s,     649006 N,  6021815 N/s, d7d5
 8/ 0,   -0.05 p,   0.42 s,    2439588 N,  5761529 N/s, d7d5
 9/ 0,   +0.06 p,   1.46 s,    9111373 N,  6230070 N/s, d7d5
10/ 0,   -0.06 p,   8.19 s,   47219303 N,  5764897 N/s, d7d5
11/ 0,   +0.01 p,  30.87 s,  182526179 N,  5913096 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        104 N,  4526265 N/s, f3b3
